Stop Report

Time Period: 10/27/2020 12:00AM to 10/27/2020 11:59PM
Display Stops Longer than: 1 min(s)

Number of Stops: 134
Total Stop Time: 8d 6h 8m
Total Travel Time: 0d 22h 21m
Total Time: 9d 4h 29m

Item Name: CIOFFI 1
Date,Time (Pacific),Duration (mins),Landmark,Street Address,City,County,State,Zip Code,Country,Lat,Lon
"10/27/2020","12:00AM to 03:44PM","15h 44m 58s","","5360 Venables Street","Burnaby","-","BC","V5B 1Y1","CANADA","49.27630","-122.98575"

Item Name: CIOFFI 10
Date,Time (Pacific),Duration (mins),Landmark,Street Address,City,County,State,Zip Code,Country,Lat,Lon
"10/27/2020","12:00AM to 03:44PM","15h 44m 58s","OSAKA SUSHI HASTINGS","4152 East Hastings Street","Burnaby","-","BC","V5C 2J4","CANADA","49.28072","-123.01272"

Item Name: CIOFFI 11
Date,Time (Pacific),Duration (mins),Landmark,Street Address,City,County,State,Zip Code,Country,Lat,Lon
"","03:09PM to 03:16PM","0h 06m 56s","LA BUCA","2825 Alamein Avenue","Vancouver","-","BC","V6L 1S4","CANADA","49.25052","-123.16842"
"","03:07PM to 03:08PM","0h 01m 13s","YUWA JAPANESE RESTAURANT","2785 West 16th Avenue","Vancouver","-","BC","V6K 4W7","CANADA","49.25771","-123.16829"
"","02:59PM to 03:06PM","0h 07m 05s","SWEET OBSESSION","2615 West 16th Avenue","Vancouver","-","BC","V6K 3C2","CANADA","49.25817","-123.16521"
"","02:44PM to 02:46PM","0h 02m 33s","UBC GREAT DANE COFFEE (WALTER GAGE)","6015 Walter Gage Road","Vancouver","-","BC","V6T 2E8","CANADA","49.27050","-123.25086"
"","02:27PM to 02:31PM","0h 03m 29s","BIBO KITS","1843 West 4th Avenue","Vancouver","-","BC","V6J 3H3","CANADA","49.26845","-123.14654"
"","02:13PM to 02:26PM","0h 13m 14s","ROCKY MOUNTAIN FLATBREAD KITS","1879 West 2nd Avenue","Vancouver","-","BC","V6J 1J1","CANADA","49.27028","-123.14735"
"","01:49PM to 02:04PM","0h 15m 02s","OPHELIA","161 West 2nd Avenue","Vancouver","-","BC","V5Y 1B8","CANADA","49.26976","-123.10856"
"","01:45PM to 01:48PM","0h 03m 18s","URBAN FARE (FALSE CREEK)","1681 Manitoba Street","Vancouver","-","BC","V5Y 1M7","CANADA","49.27078","-123.10661"
"","01:27PM to 01:33PM","0h 05m 37s","BANANA GROVE","3760 Slocan Street","Vancouver","-","BC","V5M 3G3","CANADA","49.25098","-123.04943"
"","11:53AM to 01:10PM","1h 17m 10s","CIOFFIS THUNDERBIRD WAREHOUSE","3153 Thunderbird Crescent","Burnaby","-","BC","V5A 3G1","CANADA","49.25671","-122.92002"
"","11:19AM to 11:24AM","0h 05m 02s","NUBA NATURAL FOOD","146 East 3rd Avenue","Vancouver","-","BC","V5T 1C8","CANADA","49.26782","-123.10164"
"","11:13AM to 11:17AM","0h 04m 39s","OPHELIA","151 West 2nd Avenue","Vancouver","-","BC","V5Y 1B8","CANADA","49.26986","-123.10824"
"","10:56AM to 11:03AM","0h 06m 37s","SEASONS IN THE PARK","Unnamed Road","Vancouver","-","BC","V5Y","CANADA","49.24189","-123.11162"
"","10:39AM to 10:46AM","0h 06m 58s","KITCHEN TABLE GROUP","284 Southwest Marine Drive","Vancouver","-","BC","V5X 2R5","CANADA","49.21033","-123.11157"
"","10:13AM to 10:18AM","0h 04m 51s","KARLO CORP","8050 Glenwood Drive","Burnaby","-","BC","V3N 5E9","CANADA","49.19445","-122.96819"
"","09:52AM to 10:01AM","0h 08m 40s","HART HOUSE","6664 Deer Lake Avenue","Burnaby","-","BC","V5E 4H3","CANADA","49.23828","-122.96618"
"","09:41AM to 09:46AM","0h 05m 25s","","7089 British Columbia 7","Burnaby","-","BC","V5A 1W1","CANADA","49.25910","-122.95628"
"","09:36AM","0","ATLAS STONE","3180 Thunderbird Crescent","Burnaby","-","BC","V5A 3G4","CANADA","49.25628","-122.92014"
"10/27/2020","12:00AM to 09:36AM","9h 36m 33s","ATLAS STONE","3180 Thunderbird Crescent","Burnaby","-","BC","V5A 3G4","CANADA","49.25628","-122.92014"

Item Name: CIOFFI 12
Date,Time (Pacific),Duration (mins),Landmark,Street Address,City,County,State,Zip Code,Country,Lat,Lon
